,index,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
0,1,AOS,Industrials,10830319616,3753900000.0,3538900000.0,2895300000.0,2992700000.0,235700000.0,487100000.0,344900000.0,370000000.0,1.59,1.52,3.05,2.13,2.24,3.85,45.276726,18.698702,11.760189937106919,402049984,0.14866,0.13486296275104423,0.2658552559764218,0.18660390629226858,0.22198224142068634,0.64839995,22.547248801780825,72.79,0.20993305487211764,0.11952843576028818,0.0798571660444733,0.07073192689733818,0.1401968685240617,0.10912139715885721,0.1209941137998692,0.002414256988905677,0.01164281559250968,0.0024549647853889306,0.0039053135329350343,2.56,5.737169
1,2,ABT,Healthcare,182137618432,43653000000.0,43075000000.0,34608000000.0,31904000000.0,6933000000.0,7071000000.0,4495000000.0,3687000000.0,3.29,3.989538,4.008317,2.537784,2.091911,4.62,31.835867,22.670996,6.890880243161094,5708125184,0.13926,0.18898217303603554,0.19750293279705045,0.13710956564177648,0.11859881626351004,0.6689,32.07908565111104,105.3,0.48290901161205907,0.5308641975308642,0.5993472425573451,0.09313791343131196,0.0940342571413373,0.061958978882946464,0.054310840072473374,9.050913838120104,8.665441176470589,5.475030450669915,4.1755379388448475,-11.65,4.8893657
2,3,ABBV,Healthcare,267184095232,58054000000.0,56197000000.0,45804000000.0,33266000000.0,11836000000.0,11542000000.0,4616000000.0,7882000000.0,4.25,6.65,6.48,2.73,5.3,11.07,35.632942,13.680218,3.218874823529412,23683999744,0.63017,0.6859858583516866,0.7490913811007269,0.3530131538696849,-0.9645129711209006,1.1893001,11.231295955589081,150.77,3.667033731308682,4.976895119418484,6.581217497705721,0.08527070350491697,0.07876939035958752,0.030657855411284164,0.08844751164226,49.11203319502075,41.667870036101085,15.754266211604095,84.75268817204301,-3.3,20.773663
3,4,ACN,Technology,195962765312,61594305000.0,50533389000.0,44327039000.0,43215013000.0,6877169000.0,5906809000.0,5107839000.0,4779112000.0,11.21,10.87,9.31,8.03,7.49,12.46,27.690454,24.91252,2.2223479036574485,8869508096,0.30319,0.3110920569207122,0.3024747402125493,0.3004275051108988,0.33168148857439916,0.3859,22.155858782164415,311.53,0.15044217683997585,0.17956704003303517,0.20500723977823188,0.14550731549302748,0.1368081915621196,0.13775708803190023,0.1604273666090632,21.62822198180972,17.925168272002818,15.739964993806122,19.88703066417547,3.11,7.729525
4,5,ATVI,Communication Services,71870652416,7528000000.0,8803000000.0,8086000000.0,6489000000.0,1513000000.0,2699000000.0,2197000000.0,1503000000.0,2.73,1.94,3.47,2.85,1.96,4.42,33.48718,20.683258,7.5762849816849815,2823375104,0.11096,0.07862599386790002,0.15336098641968293,0.1461062711977123,0.11737602499023819,0.0,25.461149906576495,91.44,0.1876526529127475,0.205011648389113,0.2397419698078074,0.05525325932147683,0.10771871008939975,0.09507118438703535,0.07573696145124717,0.0017733944268195027,0.008056442188077925,0.0019748117863773694,0.0025768986985420634,1.69,3.4585555
5,6,ADM,Consumer Defensive,46784147456,101848000000.0,85249000000.0,64355000000.0,64656000000.0,4340000000.0,2709000000.0,1772000000.0,1379000000.0,7.5,7.72,4.8,3.16,2.45,6.67,11.453334,12.878561,1.7171414666666667,5489500160,0.16655001,0.1784759633178435,0.12025035511363637,0.08883096049729296,0.07194657484217666,0.22670001,8.517517820201684,85.85,0.3775136735617058,0.4234286221590909,0.554090635652697,0.11720859889813115,0.07584835927875462,0.0527679342485334,0.03134304611678069,0.793854033290653,0.5125827814569537,0.3606757581925504,0.2687061574434918,-20.18,1.8462002
6,7,ADBE,Technology,235115315200,17606000000.0,15785000000.0,12868000000.0,11171297000.0,4756000000.0,4822000000.0,5260000000.0,2951458000.0,10.51,10.13,10.1,10.94,6.07,17.8,49.079926,28.979216,2.75729933396765,6928124928,0.33681,0.3384812468863426,0.3258768669324863,0.396562123039807,0.28028628258558397,0.0,33.80148690067039,513.78,0.32972742153583373,0.3158072582280192,0.35494571773220746,0.17507822565801584,0.1770125913145626,0.2166035249547027,0.14215398990482797,0.0059954948295707095,0.014529181439501562,0.005133590079562706,0.004468776160133164,2.32,15.852669
7,9,AAP,Consumer Cyclical,4252022016,11154722000.0,10997989000.0,10106321000.0,9709003000.0,501872000.0,616108000.0,493021000.0,486896000.0,6.73,8.32,9.62,7.17,6.87,6.78,10.628529,10.550147,1.5676295690936106,58499000,0.14596,0.18738586429131224,0.19694715101632168,0.13850803143801735,0.13718931745992835,0.6686,72.3500517957572,71.2,1.3634122035738594,1.0778955666208803,0.856151910711356,0.041758351845099906,0.05052463837547806,0.04164156735899651,0.043285319630796036,0.0018791267280625604,0.005962467467368166,0.0016071547764017705,0.0010427082837309934,4.31,1.6022668
8,11,AFL,Financial Services,45746024448,19140000000.0,22106000000.0,22147000000.0,22307000000.0,4418000000.0,4325000000.0,4778000000.0,3304000000.0,6.93,6.62,6.42,6.69,4.45,6.1,10.924964,12.411475,1.7909776334776335,-3617374976,0.19569999,0.21936444885799405,0.13006345292154092,0.14237611371018208,0.11409233744259124,0.2198,-12.639512906101332,75.67,0.3695134061569017,0.2392566084263074,0.2353765010876367,0.033536261367259255,0.027452996661207804,0.028942490580667047,0.021627565982404694,0.04607458701818789,0.035364148521247106,0.036298991863495125,0.02704893204201426,2.14,2.2076106
9,13,APD,Basic Materials,63596036096,12698600000.0,10323000000.0,8856300000.0,8918900000.0,2256100000.0,2099100000.0,1886700000.0,1760000000.0,9.73,10.16,9.47,8.53,7.99,12.74,29.42549,22.473312,2.3096929085303186,-875524992,0.15038,0.17164485696895923,0.15503297709698147,0.15618636070133612,0.1592241441702251,0.6892,-72.40673545867209,285.4,0.5816189896530737,0.5640597649874074,0.6546300435437673,0.08296742496120268,0.07815199261333175,0.07496275105786995,0.0929112908334565,0.6726996243067566,1.2727217607469836,1.3173439463762044,1.3790941858642847,2.6,4.498759
